Resume,JobDescription,ExperienceYears,ATS_Score
"Professional Summary:
Results-driven Software Engineer with 0 years of experience in
REST APIs, Agile, Design Patterns, Unit Testing. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
REST APIs, Agile, Design Patterns, Unit Testing, C++, System Design, Algorithms, Data Structures, Scrum, Project Management

Experience:
Software Engineer at NexGen Software
- Managed internal tools using Design Patterns, across 5 production environments.
- Created scalable systems using Python, improving performance by 40%.

Education:
B.E in Information Technology, Anna University

Certifications:
Certified Kubernetes Administrator","We are looking for a Software Engineer with at least 1 years of experience.
Required Skills: SQL, CI/CD, System Design, Git, Python, Object Oriented Programming.
Responsibilities include working on scalable systems, APIs
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",0,68.6
"Professional Summary:
Results-driven DevOps Engineer with 1 years of experience in
Kubernetes, Azure DevOps, Ansible, Bash Scripting. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Kubernetes, Azure DevOps, Ansible, Bash Scripting, Prometheus, Docker, Infrastructure as Code, Git, Time Management, Problem Solving

Experience:
DevOps Engineer at DataWave Analytics
- Delivered CI/CD pipelines using Jenkins, resulting in 15% cost savings.
- Implemented infrastructure as code using Jenkins, for over 10,000 users.
- Delivered CI/CD pipelines using Grafana, by 35%.

Education:
B.Tech in Computer Science, VIT University

Certifications:
Scrum Master Certification","We are looking for a DevOps Engineer with at least 1 years of experience.
Required Skills: Kubernetes, GitLab CI, Git, Jenkins, AWS, Docker.
Responsibilities include working on infrastructure as code, CI/CD pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",1,76.1
"Professional Summary:
Results-driven DevOps Engineer with 3 years of experience in
Grafana, Ansible, Infrastructure as Code, AWS. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Grafana, Ansible, Infrastructure as Code, AWS, Linux, Azure DevOps, Docker, CI/CD, Problem Solving, Time Management

Experience:
DevOps Engineer at DataWave Analytics
- Automated CI/CD pipelines using AWS, for over 10,000 users.
- Managed release pipelines using Grafana, by 35%.
- Managed release pipelines using Azure DevOps, by 35%.

Education:
MCA, VIT University

Certifications:
TensorFlow Developer Certificate","We are looking for a DevOps Engineer with at least 1 years of experience.
Required Skills: CI/CD, Docker, Grafana, Ansible, Git, Linux.
Responsibilities include working on deployment automation, monitoring systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",3,71.4
"Professional Summary:
Results-driven Software Engineer with 1 years of experience in
Object Oriented Programming, Agile, CI/CD, Python. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Object Oriented Programming, Agile, CI/CD, Python, SQL, Git, System Design, Java, Problem Solving, Agile

Experience:
Software Engineer at CloudNine Technologies
- Developed APIs using System Design, improving performance by 40%.
- Engineered software modules using CI/CD, by 20%.
- Implemented internal tools using Data Structures, improving performance by 40%.

Education:
B.E in Information Technology, Indian Institute of Technology

Certifications:
Oracle Certified Java Programmer","We are looking for a Software Engineer with at least 3 years of experience.
Required Skills: C++, System Design, Object Oriented Programming, REST APIs, Design Patterns, Python.
Responsibilities include working on scalable systems, automated tests
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",1,74.8
"Professional Summary:
Results-driven DevOps Engineer with 10 years of experience in
Azure DevOps, Docker, Monitoring, Infrastructure as Code. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Azure DevOps, Docker, Monitoring, Infrastructure as Code, Bash Scripting, GitLab CI, Kubernetes, Linux, Time Management, Scrum

Experience:
DevOps Engineer at Pinnacle IT Services
- Implemented deployment automation using Jenkins, by 35%.
- Managed container orchestration using Grafana, improving performance by 40%.
- Delivered CI/CD pipelines using Bash Scripting, improving performance by 40%.
- Implemented release pipelines using GitLab CI, across 5 production environments.

Education:
MCA, Pune University

Certifications:
Oracle Certified Java Programmer","We are looking for a DevOps Engineer with at least 1 years of experience.
Required Skills: Ansible, Prometheus, Azure DevOps, CI/CD, Kubernetes, Jenkins.
Responsibilities include working on deployment automation, CI/CD pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,80.4
"Professional Summary:
Results-driven AI Engineer with 9 years of experience in
TensorFlow, REST APIs, Hugging Face, FastAPI. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
TensorFlow, REST APIs, Hugging Face, FastAPI, Flask, Python, OpenCV, Model Deployment, Project Management, Scrum

Experience:
AI Engineer at Skyline Digital
- Automated chatbots using NLP, by 35%.
- Engineered chatbots using Python, resulting in 15% cost savings.
- Architected chatbots using Keras, for over 10,000 users.

Education:
MCA, Indian Institute of Technology

Certifications:
Oracle Certified Java Programmer","We are looking for a AI Engineer with at least 5 years of experience.
Required Skills: NLP, Model Deployment, FastAPI, TensorFlow, Kubernetes, OpenCV.
Responsibilities include working on deep learning models, computer vision systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",9,76.7
"Professional Summary:
Results-driven DevOps Engineer with 12 years of experience in
CI/CD, Infrastructure as Code, Monitoring, Bash Scripting. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CI/CD, Infrastructure as Code, Monitoring, Bash Scripting, AWS, Terraform, Azure DevOps, Jenkins, Project Management, Time Management

Experience:
DevOps Engineer at Vertex Solutions
- Architected deployment automation using Azure DevOps, reducing latency by 25%.
- Automated CI/CD pipelines using Linux, reducing latency by 25%.
- Architected container orchestration using AWS, improving performance by 40%.
- Deployed release pipelines using Infrastructure as Code, across 5 production environments.

Education:
M.Sc in Data Science, VIT University

Certifications:
Google Data Analytics Certificate","We are looking for a DevOps Engineer with at least 2 years of experience.
Required Skills: Grafana, Docker, Ansible, Azure DevOps, Git, CI/CD.
Responsibilities include working on monitoring systems, infrastructure as code
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",12,90.9
"Professional Summary:
Results-driven DevOps Engineer with 9 years of experience in
Git, Grafana, Azure DevOps, Infrastructure as Code. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Git, Grafana, Azure DevOps, Infrastructure as Code, Linux, AWS, Terraform, GitLab CI, Scrum, Time Management

Experience:
DevOps Engineer at ByteForge Inc
- Automated container orchestration using Docker, by 35%.
- Led CI/CD pipelines using CI/CD, improving performance by 40%.

Education:
B.E in Information Technology, Indian Institute of Technology

Certifications:
Google Data Analytics Certificate","We are looking for a DevOps Engineer with at least 5 years of experience.
Required Skills: Jenkins, Grafana, AWS, GitLab CI, Prometheus, Bash Scripting.
Responsibilities include working on deployment automation, infrastructure as code
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",9,89.7
"Professional Summary:
Results-driven Software Engineer with 9 years of experience in
Java, CI/CD, Design Patterns, System Design. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Java, CI/CD, Design Patterns, System Design, Data Structures, Agile, Git, Unit Testing, Team Leadership, Communication

Experience:
Software Engineer at TechCorp Solutions
- Built APIs using Agile, for over 10,000 users.
- Designed APIs using CI/CD, by 20%.

Education:
B.Tech in Computer Science, Pune University

Certifications:
Microsoft Certified: Azure Fundamentals","We are looking for a Software Engineer with at least 3 years of experience.
Required Skills: SQL, Python, Java, System Design, REST APIs, C++.
Responsibilities include working on software modules, automated tests
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",9,84.5
"Professional Summary:
Results-driven AI Engineer with 6 years of experience in
Hugging Face, Docker, Transformers, Kubernetes. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Hugging Face, Docker, Transformers, Kubernetes, Keras, MLOps, Model Deployment, NLP, Problem Solving, Project Management

Experience:
AI Engineer at TechCorp Solutions
- Developed computer vision systems using Python, reducing latency by 25%.
- Implemented computer vision systems using Python, resulting in 15% cost savings.
- Led NLP pipelines using Hugging Face, by 20%.
- Created chatbots using Kubernetes, reducing latency by 25%.

Education:
MCA, Pune University

Certifications:
Microsoft Certified: Azure Fundamentals","We are looking for a AI Engineer with at least 3 years of experience.
Required Skills: Keras, TensorFlow, Docker, Computer Vision, PyTorch, CUDA.
Responsibilities include working on computer vision systems, model training pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",6,74.9
"Professional Summary:
Results-driven DevOps Engineer with 2 years of experience in
AWS, GitLab CI, Linux, Azure DevOps. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
AWS, GitLab CI, Linux, Azure DevOps, Docker, Monitoring, Ansible, Terraform, Scrum, Time Management

Experience:
DevOps Engineer at NexGen Software
- Engineered infrastructure as code using Grafana, resulting in 15% cost savings.
- Automated container orchestration using Terraform, across 5 production environments.
- Created deployment automation using Kubernetes, by 35%.
- Developed CI/CD pipelines using Git, resulting in 15% cost savings.

Education:
M.Tech in Computer Science, National Institute of Technology

Certifications:
PMP Certification","We are looking for a DevOps Engineer with at least 2 years of experience.
Required Skills: Git, CI/CD, Kubernetes, Jenkins, Grafana, Infrastructure as Code.
Responsibilities include working on container orchestration, CI/CD pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",2,78.3
"Professional Summary:
Results-driven Web Developer with 3 years of experience in
JavaScript, Tailwind CSS, TypeScript, Express.js. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
JavaScript, Tailwind CSS, TypeScript, Express.js, REST APIs, Node.js, Webpack, CSS, Project Management, Communication

Experience:
Web Developer at Quantum Softworks
- Streamlined web applications using Bootstrap, resulting in 15% cost savings.
- Optimized web applications using Webpack, across 5 production environments.
- Improved frontend components using REST APIs, for over 10,000 users.

Education:
B.Tech in Computer Science, Pune University

Certifications:
Google Data Analytics Certificate","We are looking for a Web Developer with at least 3 years of experience.
Required Skills: Tailwind CSS, Git, REST APIs, HTML, Node.js, Next.js.
Responsibilities include working on web applications, responsive UIs
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",3,79.7
"Professional Summary:
Results-driven Software Engineer with 9 years of experience in
REST APIs, Data Structures, System Design, Design Patterns. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
REST APIs, Data Structures, System Design, Design Patterns, Git, Agile, Python, Microservices, Communication, Project Management

Experience:
Software Engineer at Pinnacle IT Services
- Implemented software modules using Microservices, by 35%.
- Automated internal tools using Object Oriented Programming, by 35%.
- Managed software modules using Python, for over 10,000 users.

Education:
B.Tech in Computer Science, VIT University

Certifications:
AWS Certified Solutions Architect","We are looking for a Software Engineer with at least 5 years of experience.
Required Skills: Unit Testing, Git, Algorithms, REST APIs, C++, Design Patterns.
Responsibilities include working on scalable systems, APIs
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",9,83.1
"Professional Summary:
Results-driven Java Developer with 1 years of experience in
JPA, Multithreading, Kafka, Docker. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
JPA, Multithreading, Kafka, Docker, JUnit, Design Patterns, REST APIs, Maven, Project Management, Agile

Experience:
Java Developer at DataWave Analytics
- Led backend systems using Spring Boot, by 20%.
- Developed backend systems using SQL, by 35%.
- Streamlined enterprise applications using MySQL, for over 10,000 users.

Education:
B.Tech in Computer Science, Anna University

Certifications:
PMP Certification","We are looking for a Java Developer with at least 4 years of experience.
Required Skills: Docker, Git, Microservices, MySQL, Hibernate, JPA.
Responsibilities include working on batch jobs, backend systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",1,78.0
"Professional Summary:
Results-driven DevOps Engineer with 8 years of experience in
Infrastructure as Code, Bash Scripting, Monitoring, Jenkins. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Infrastructure as Code, Bash Scripting, Monitoring, Jenkins, GitLab CI, Kubernetes, Ansible, Azure DevOps, Project Management, Time Management

Experience:
DevOps Engineer at TechCorp Solutions
- Streamlined container orchestration using GitLab CI, by 35%.
- Built release pipelines using Jenkins, resulting in 15% cost savings.
- Implemented CI/CD pipelines using Monitoring, for over 10,000 users.

Education:
MCA, National Institute of Technology

Certifications:
Oracle Certified Java Programmer","We are looking for a DevOps Engineer with at least 2 years of experience.
Required Skills: GitLab CI, Ansible, Infrastructure as Code, Prometheus, AWS, Monitoring.
Responsibilities include working on infrastructure as code, container orchestration
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",8,74.6
"Professional Summary:
Results-driven Java Developer with 6 years of experience in
MySQL, Design Patterns, Maven, Docker. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
MySQL, Design Patterns, Maven, Docker, Microservices, Java, Multithreading, JUnit, Project Management, Team Leadership

Experience:
Java Developer at Pinnacle IT Services
- Architected database integrations using Java, for over 10,000 users.
- Designed Spring Boot microservices using Design Patterns, by 35%.

Education:
B.Sc in Computer Science, Anna University

Certifications:
Certified Kubernetes Administrator","We are looking for a Java Developer with at least 5 years of experience.
Required Skills: SQL, Kafka, Java, Maven, MySQL, JPA.
Responsibilities include working on batch jobs, Spring Boot microservices
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",6,71.6
"Professional Summary:
Results-driven Software Engineer with 1 years of experience in
Unit Testing, Python, SQL, C++. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Unit Testing, Python, SQL, C++, Microservices, Algorithms, Data Structures, CI/CD, Team Leadership, Agile

Experience:
Software Engineer at Skyline Digital
- Optimized internal tools using REST APIs, improving performance by 40%.
- Developed scalable systems using Agile, for over 10,000 users.
- Improved backend services using Microservices, resulting in 15% cost savings.
- Architected scalable systems using Algorithms, by 20%.

Education:
B.Tech in Computer Science, State Technical University

Certifications:
Scrum Master Certification","We are looking for a Software Engineer with at least 3 years of experience.
Required Skills: Object Oriented Programming, Git, REST APIs, Java, Data Structures, SQL.
Responsibilities include working on scalable systems, automated tests
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",1,70.7
"Professional Summary:
Results-driven Web Developer with 2 years of experience in
Git, Express.js, Bootstrap, React. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Git, Express.js, Bootstrap, React, JavaScript, REST APIs, Tailwind CSS, SQL, Team Leadership, Problem Solving

Experience:
Web Developer at CloudNine Technologies
- Automated e-commerce platforms using REST APIs, for over 10,000 users.
- Managed e-commerce platforms using REST APIs, across 5 production environments.
- Implemented e-commerce platforms using React, across 5 production environments.
- Managed frontend components using Express.js, by 35%.

Education:
B.Tech in Computer Science, Indian Institute of Technology

Certifications:
Scrum Master Certification","We are looking for a Web Developer with at least 4 years of experience.
Required Skills: JavaScript, HTML, Bootstrap, Git, Next.js, Webpack.
Responsibilities include working on single page applications, e-commerce platforms
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",2,78.8
"Professional Summary:
Results-driven Java Developer with 7 years of experience in
Microservices, Design Patterns, JUnit, Maven. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Microservices, Design Patterns, JUnit, Maven, Multithreading, Git, Spring Boot, REST APIs, Agile, Communication

Experience:
Java Developer at Skyline Digital
- Optimized REST APIs using Docker, improving performance by 40%.
- Architected batch jobs using Kafka, across 5 production environments.
- Developed backend systems using REST APIs, by 35%.
- Implemented backend systems using Java, by 20%.

Education:
M.Sc in Data Science, National Institute of Technology

Certifications:
PMP Certification","We are looking for a Java Developer with at least 5 years of experience.
Required Skills: Spring Boot, Microservices, MySQL, Hibernate, Docker, SQL.
Responsibilities include working on REST APIs, database integrations
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",7,79.5
"Professional Summary:
Results-driven DevOps Engineer with 12 years of experience in
Jenkins, Prometheus, Docker, Monitoring. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Jenkins, Prometheus, Docker, Monitoring, Infrastructure as Code, Git, Kubernetes, CI/CD, Agile, Scrum

Experience:
DevOps Engineer at Pinnacle IT Services
- Architected container orchestration using Kubernetes, across 5 production environments.
- Implemented container orchestration using CI/CD, by 20%.
- Created CI/CD pipelines using Bash Scripting, by 35%.

Education:
M.Sc in Data Science, Indian Institute of Technology

Certifications:
Oracle Certified Java Programmer","We are looking for a DevOps Engineer with at least 5 years of experience.
Required Skills: Jenkins, Git, CI/CD, GitLab CI, Infrastructure as Code, Grafana.
Responsibilities include working on CI/CD pipelines, deployment automation
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",12,91.4
"Professional Summary:
Results-driven Software Engineer with 2 years of experience in
Data Structures, Java, REST APIs, CI/CD. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Data Structures, Java, REST APIs, CI/CD, Algorithms, Microservices, Python, Agile, Team Leadership, Problem Solving

Experience:
Software Engineer at TechCorp Solutions
- Led APIs using REST APIs, by 20%.
- Developed internal tools using Git, for over 10,000 users.
- Managed software modules using Git, by 20%.
- Engineered automated tests using Algorithms, for over 10,000 users.

Education:
B.Tech in Electronics and Communication, Delhi Technological University

Certifications:
Microsoft Certified: Azure Fundamentals","We are looking for a Software Engineer with at least 3 years of experience.
Required Skills: System Design, Unit Testing, Algorithms, Git, Java, Agile.
Responsibilities include working on APIs, software modules
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",2,67.8
"Professional Summary:
Results-driven Cloud Engineer with 10 years of experience in
Security, S3, Kubernetes, Networking. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Security, S3, Kubernetes, Networking, Azure, IAM, Lambda, DevOps, Agile, Time Management

Experience:
Cloud Engineer at Innovate Systems
- Developed cloud migrations using AWS, by 35%.
- Delivered serverless architectures using Google Cloud Platform, reducing latency by 25%.
- Improved cloud infrastructure using IAM, reducing latency by 25%.

Education:
B.Tech in Computer Science, Pune University

Certifications:
Google Data Analytics Certificate","We are looking for a Cloud Engineer with at least 4 years of experience.
Required Skills: EC2, Linux, Azure, Terraform, Kubernetes, Security.
Responsibilities include working on auto-scaling systems, cloud infrastructure
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,87.6
"Professional Summary:
Results-driven Web Developer with 1 years of experience in
Git, CSS, Redux, Express.js. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Git, CSS, Redux, Express.js, Tailwind CSS, React, Bootstrap, MongoDB, Communication, Team Leadership

Experience:
Web Developer at Vertex Solutions
- Led e-commerce platforms using CSS, across 5 production environments.
- Developed landing pages using REST APIs, across 5 production environments.

Education:
B.E in Information Technology, Indian Institute of Technology

Certifications:
AWS Certified Solutions Architect","We are looking for a Web Developer with at least 1 years of experience.
Required Skills: JavaScript, HTML, SQL, REST APIs, Webpack, Node.js.
Responsibilities include working on frontend components, landing pages
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",1,72.2
"Professional Summary:
Results-driven Java Developer with 6 years of experience in
Java, Kafka, Microservices, SQL. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Java, Kafka, Microservices, SQL, JPA, Maven, Docker, Git, Project Management, Time Management

Experience:
Java Developer at CloudNine Technologies
- Delivered REST APIs using MySQL, reducing latency by 25%.
- Created database integrations using JPA, improving performance by 40%.
- Improved batch jobs using Hibernate, by 35%.
- Managed database integrations using REST APIs, improving performance by 40%.

Education:
B.Tech in Electronics and Communication, Delhi Technological University

Certifications:
Google Data Analytics Certificate","We are looking for a Java Developer with at least 1 years of experience.
Required Skills: SQL, Design Patterns, Java, JPA, Spring Boot, JUnit.
Responsibilities include working on batch jobs, REST APIs
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",6,83.3
"Professional Summary:
Results-driven Software Engineer with 4 years of experience in
C++, Java, REST APIs, Git. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
C++, Java, REST APIs, Git, System Design, Python, Design Patterns, Algorithms, Team Leadership, Communication

Experience:
Software Engineer at NexGen Software
- Built internal tools using Python, by 20%.
- Developed automated tests using Unit Testing, resulting in 15% cost savings.
- Led software modules using SQL, improving performance by 40%.
- Deployed backend services using SQL, by 20%.

Education:
B.Sc in Computer Science, VIT University

Certifications:
TensorFlow Developer Certificate","We are looking for a Software Engineer with at least 1 years of experience.
Required Skills: Algorithms, Agile, REST APIs, Git, C++, Java.
Responsibilities include working on scalable systems, software modules
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",4,77.1
"Professional Summary:
Results-driven Java Developer with 3 years of experience in
Hibernate, Maven, Spring Boot, JPA. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Hibernate, Maven, Spring Boot, JPA, Kafka, REST APIs, Git, SQL, Project Management, Time Management

Experience:
Java Developer at Quantum Softworks
- Engineered Spring Boot microservices using JUnit, improving performance by 40%.
- Implemented enterprise applications using Multithreading, by 20%.
- Automated enterprise applications using JPA, by 20%.
- Improved enterprise applications using Hibernate, for over 10,000 users.

Education:
B.Sc in Computer Science, Indian Institute of Technology

Certifications:
Certified Kubernetes Administrator","We are looking for a Java Developer with at least 2 years of experience.
Required Skills: REST APIs, JUnit, Git, Maven, Kafka, Design Patterns.
Responsibilities include working on backend systems, database integrations
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",3,81.0
"Professional Summary:
Results-driven Software Engineer with 12 years of experience in
Design Patterns, System Design, Algorithms, SQL. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Design Patterns, System Design, Algorithms, SQL, Python, Agile, Object Oriented Programming, C++, Team Leadership, Problem Solving

Experience:
Software Engineer at Vertex Solutions
- Improved scalable systems using Agile, by 20%.
- Deployed automated tests using Data Structures, reducing latency by 25%.
- Automated internal tools using Object Oriented Programming, resulting in 15% cost savings.

Education:
B.Tech in Electronics and Communication, National Institute of Technology

Certifications:
TensorFlow Developer Certificate","We are looking for a Software Engineer with at least 3 years of experience.
Required Skills: Design Patterns, SQL, Object Oriented Programming, Data Structures, C++, Algorithms.
Responsibilities include working on internal tools, backend services
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",12,82.5
"Professional Summary:
Results-driven Software Engineer with 2 years of experience in
Data Structures, Unit Testing, Object Oriented Programming, SQL. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Data Structures, Unit Testing, Object Oriented Programming, SQL, Python, Algorithms, Java, Microservices, Team Leadership, Scrum

Experience:
Software Engineer at Vertex Solutions
- Designed APIs using C++, improving performance by 40%.
- Led scalable systems using CI/CD, for over 10,000 users.

Education:
B.Tech in Electronics and Communication, Pune University

Certifications:
PMP Certification","We are looking for a Software Engineer with at least 1 years of experience.
Required Skills: C++, SQL, REST APIs, Python, Java, Unit Testing.
Responsibilities include working on scalable systems, internal tools
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",2,64.5
"Professional Summary:
Results-driven Cloud Engineer with 11 years of experience in
Networking, Docker, Azure, Security. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Networking, Docker, Azure, Security, IAM, Terraform, Kubernetes, EC2, Agile, Problem Solving

Experience:
Cloud Engineer at Pinnacle IT Services
- Implemented cloud security policies using Lambda, reducing latency by 25%.
- Developed cloud migrations using Python, across 5 production environments.

Education:
B.Sc in Computer Science, Pune University

Certifications:
Certified Kubernetes Administrator","We are looking for a Cloud Engineer with at least 1 years of experience.
Required Skills: Lambda, Azure, Kubernetes, Docker, DevOps, CloudFormation.
Responsibilities include working on cloud migrations, auto-scaling systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",11,80.6
"Professional Summary:
Results-driven AI Engineer with 4 years of experience in
NLP, Computer Vision, REST APIs, TensorFlow. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
NLP, Computer Vision, REST APIs, TensorFlow, Python, Transformers, Kubernetes, Hugging Face, Communication, Team Leadership

Experience:
AI Engineer at Skyline Digital
- Optimized NLP pipelines using Transformers, reducing latency by 25%.
- Led NLP pipelines using PyTorch, resulting in 15% cost savings.
- Managed computer vision systems using Flask, by 20%.

Education:
B.Sc in Computer Science, Anna University

Certifications:
Microsoft Certified: Azure Fundamentals","We are looking for a AI Engineer with at least 4 years of experience.
Required Skills: Python, FastAPI, Flask, Hugging Face, REST APIs, TensorFlow.
Responsibilities include working on deep learning models, chatbots
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",4,74.4
"Professional Summary:
Results-driven Java Developer with 3 years of experience in
Kafka, MySQL, Docker, Maven. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Kafka, MySQL, Docker, Maven, Git, JPA, Design Patterns, JUnit, Team Leadership, Communication

Experience:
Java Developer at Skyline Digital
- Improved database integrations using Kafka, across 5 production environments.
- Designed REST APIs using Multithreading, by 35%.
- Streamlined database integrations using Hibernate, across 5 production environments.
- Created Spring Boot microservices using MySQL, reducing latency by 25%.

Education:
B.E in Information Technology, Pune University

Certifications:
Google Data Analytics Certificate","We are looking for a Java Developer with at least 2 years of experience.
Required Skills: Design Patterns, Hibernate, Maven, Multithreading, SQL, Microservices.
Responsibilities include working on backend systems, enterprise applications
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",3,67.3
"Professional Summary:
Results-driven AI Engineer with 1 years of experience in
REST APIs, Python, MLOps, Hugging Face. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
REST APIs, Python, MLOps, Hugging Face, Keras, OpenCV, Computer Vision, Flask, Problem Solving, Communication

Experience:
AI Engineer at Vertex Solutions
- Optimized model training pipelines using Model Deployment, reducing latency by 25%.
- Built model training pipelines using Kubernetes, for over 10,000 users.
- Architected NLP pipelines using Model Deployment, reducing latency by 25%.

Education:
B.E in Information Technology, Pune University

Certifications:
Scrum Master Certification","We are looking for a AI Engineer with at least 3 years of experience.
Required Skills: Computer Vision, OpenCV, Kubernetes, Flask, Docker, NLP.
Responsibilities include working on model training pipelines, computer vision systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",1,75.6
"Professional Summary:
Results-driven Cloud Engineer with 2 years of experience in
S3, Azure, EC2, Lambda. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
S3, Azure, EC2, Lambda, CloudFormation, Python, IAM, Networking, Scrum, Problem Solving

Experience:
Cloud Engineer at NexGen Software
- Automated cloud infrastructure using Docker, reducing latency by 25%.
- Developed multi-region deployments using CloudFormation, resulting in 15% cost savings.
- Developed cloud infrastructure using DevOps, by 20%.

Education:
B.Tech in Electronics and Communication, VIT University

Certifications:
Oracle Certified Java Programmer","We are looking for a Cloud Engineer with at least 3 years of experience.
Required Skills: Python, Kubernetes, Google Cloud Platform, DevOps, Terraform, Docker.
Responsibilities include working on serverless architectures, cloud migrations
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",2,65.2
"Professional Summary:
Results-driven Cloud Engineer with 0 years of experience in
S3, Python, Security, Docker. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
S3, Python, Security, Docker, AWS, Lambda, CloudFormation, EC2, Scrum, Problem Solving

Experience:
Cloud Engineer at NexGen Software
- Architected multi-region deployments using Azure, resulting in 15% cost savings.
- Improved serverless architectures using Kubernetes, improving performance by 40%.
- Architected serverless architectures using EC2, improving performance by 40%.

Education:
B.E in Information Technology, Delhi Technological University

Certifications:
AWS Certified Solutions Architect","We are looking for a Cloud Engineer with at least 3 years of experience.
Required Skills: Terraform, EC2, Azure, Docker, Python, AWS.
Responsibilities include working on auto-scaling systems, serverless architectures
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",0,76.9
"Professional Summary:
Results-driven DevOps Engineer with 4 years of experience in
Prometheus, Infrastructure as Code, AWS, Monitoring. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Prometheus, Infrastructure as Code, AWS, Monitoring, Kubernetes, Git, Bash Scripting, Docker, Scrum, Project Management

Experience:
DevOps Engineer at Skyline Digital
- Implemented deployment automation using Prometheus, resulting in 15% cost savings.
- Architected container orchestration using Prometheus, across 5 production environments.
- Improved CI/CD pipelines using Kubernetes, by 20%.
- Led release pipelines using Docker, improving performance by 40%.

Education:
M.Tech in Computer Science, Pune University

Certifications:
PMP Certification","We are looking for a DevOps Engineer with at least 4 years of experience.
Required Skills: Ansible, Docker, Infrastructure as Code, Terraform, GitLab CI, Git.
Responsibilities include working on infrastructure as code, CI/CD pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",4,73.3
